S.No.,Product Name,MRP (Rs.),Pack Size,File Name
152,Pantolium-40 Tablets,104.8,20x10,Innoventis\Pantolium-40 20x10 Tablets.webp
153,Pantolium-40 Injection,54.24,40mg,Innoventis\Pantolium-40 Injection.webp
154,Pantolium-D Tablets,104.8,20x15,Innoventis\Pantolium-D 20x15 Tablets.webp
155,Pantolium-DSR Capsules,158.75,capsules,Innoventis\Pantolium-DSR Capsules.webp
156,Pantolium-LSR Capsules,292.85,10x1x10,Innoventis\Pantolium-LSR 10x1x10 Capsules.webp
157,Paralium Infusion,540,100ml,Innoventis\Paralium 100ml Infusion.webp
158,Pepran-150 Tablets,77.3,20x30,Innoventis\Pepran-150 20x30 Tablets.webp
159,Pepran-300 Tablets,46.3,20x10,Innoventis\Pepran-300 20x10 Tablets.webp
160,Pepran-D Tablets,43.65,20x10,Innoventis\Pepran-D 20x10 Tablets.webp
161,Pepran-O Tablets,47.4,20x10,Innoventis\Pepran-O 20x10 Tablets.webp
162,Piptabenz 4.5 Injection,429.45,12x20,Innoventis\Piptabenz 4.5g Injection.webp
163,Podbact 100 Dry Syrup,165,30ml,Innoventis\Podbact 100 dry Syrup.jpg
164,Podbact 200 Tablets,232,10x1x10,Innoventis\Podbact 200mg 10x1x10 Tablets.webp
165,Podbact Drops,81.67,10ml,Innoventis\Podbact Drops.webp
166,Podbact-100 Tablets,113.43,10x1x10,Innoventis\Podbact-100 Tablets 10x1x10.webp
167,Podbact-50 Dry Syrup,107.75,30ml,Innoventis\Podbact-50 Dry Syrup 30ml.webp
168,Podbact-CV Dry Syrup,158.81,30ml,Innoventis\Podbact-CV Dry Syrup 30ml.jpg
169,Power-Jump Softgel,233.25,10x2x15,Innoventis\Power-Jump 10x2x15 Softgel.webp
170,Pregaedge Test Kit,88,50 Kit,Innoventis\PregaEdge Test Kit 50kit.webp
171,Protilium Chocolate Protein Powder,366,200gm,Innoventis\Protilium Chocolate Protein Powder.jpg
172,Protilium Mango Flavour,634,200gm,Innoventis\Protilium Mango Flavour 3D.jpg
173,Protilium Mom Protine Powder,407.18,200gm,Innoventis\Protilium MOM 200g Protine Powder.jpg
174,Rabilanta DSR Capsules,147.4,20x10,Innoventis\Rabilanta DSR Capsules 20x10.webp
175,Rabilanta-LSR Capsules,253.65,10x1x10,Innoventis\Rabilanta-LSR 10x1x10 Capsules.jpg
176,Raxovent-DX,128.49,100ml,Innoventis\RAXOVENT-DX 100 ml.webp
177,Rifabenz-400 Tablet,309.37,10x1x10,Innoventis\Rifabenz 400 10x1x10 Tablet.jpg
178,Scabibenz Lotion,103.12,50ml,Innoventis\Scabibenz Lotion.jpg
179,Sinominic Tablets,58.12,20x10,Innoventis\Sinominic 20x10 Tablets.webp
180,Sinominic Nasal Spray,58.12,10ml,Innoventis\Sinominic Nasal Spray 10ml.webp
181,Sinominic-DS Suspension,86.62,60ml,Innoventis\Sinominic-DS Suspension 60ml.jpg
182,Sorbilactin Soluution,173.43,200ml,Innoventis\Sorbilactin Soluution 200ml.webp
183,Suprapep,156.75,170ml,Innoventis\Suprapep 170ml.jpg
184,Suprapep-O-Suspension,204.18,170ml,Innoventis\Suprapep-O-suspension 170ml.jpg
185,Suprigest-200 Softgel Capsules,381.8,10x1x10,Innoventis\Suprigest-200 Softgel Capsules.jpg
186,Suprigest-200SR Tablets,448.59,10x1x10,Innoventis\Suprigest-200SR Tablets.jpg
187,Suprigest-300SR Tablets,600,10x1x10,Innoventis\Suprigest-300 Tablets.jpg
188,Surelan-40SR Tablets,97.9,10x10,Innoventis\Surelan-40SR Tablets.jpg
189,Swfi,2.6,50x10,Innoventis\swfi 50X10.jpg
190,Tryptovent Tablets,77.17,10x1x30,Innoventis\Tryptovent 10x1x30 Tablets.webp
191,Udilium-150 Tablets,340,10x15,Innoventis\Udilium-150mg 10x15 Tablets.webp
192,Udilium-300 Tablets,653.4,10x15,Innoventis\Udilium-300mg 10x15 Tablets.webp
193,Urifurantin 100SR Tablets,71.95,10x10,Innoventis\URIFURANTIN 100SR TABLETS.jpg
194,Ventograin-RF Tablets,120,20x10,Innoventis\Ventograin-RF 20x10 Tablets.jpg
195,Ventoric-100 Tablets,20.26,10x10,Innoventis\Ventoric-100 Tablets.jpg
196,Ventoric-300 Tablets,60.58,10x10,Innoventis\Ventoric-300 Tablets.jpg
197,Waxovent Ear Drop,88.65,10ml,Innoventis\Waxovent Ear Drop 10ml.webp
198,X-Flow Max Tablets,271.2,24x1x4,Innoventis\X-Flow Max 24x1x4 Tablets.webp
200,Xerominic Tablets (Blue),58.77,10x5x10,Innoventis\Xerominic Tablets (Blue).webp
201,Xerominic Tablets (Green),58.77,10x5x10,Innoventis\Xerominic Tablets (Green).webp
202,Xerominic Tablets (Pink),58.77,10x5x10,Innoventis\Xerominic Tablets (Pink).webp
203,Xerominic-10 Tablets,72.18,20x10,"Innoventis\Xerominic 10mg Tablets.jpg"""
204,Xerominic-AX Tablets,76.87,20x10,Innoventis\Xerominic-AX 20x10 Tablets.webp
205,Xerominic-AX Syrup,119.62,100ml,Innoventis\Xerominic-AX Syrup.jpg
206,Zanospan Eye Drops,74.25,10ml,Innoventis\ZANOSPAN EYE DROPS 10ML.jpg
207,Zanospan-200 Tablets Alu Alu,124.77,20x10,Innoventis\Zanospan-200 Tab.webp
208,Zanospan-200 Tablets Blister,124.77,20x10,Innoventis\Zanospan-200 Tab Blister.webp
209,Zanospan-D Eye Drop,74.25,10ml,Innoventis\Zanospan-D Eye Drop 10ml.webp
210,Zanospan-M Suspension,80.15,30ml,Innoventis\Zanospan-M Suspension 30ml.webp
211,Zanospan-OZ Tablets,170.15,20x10,Innoventis\Zanospan-OZ Tablets.jpg
